CODE,NUTS_3
1000,BE100
1005,BE100
1006,BE100
1007,BE100
1008,BE100
1009,BE100
1010,BE100
1011,BE100
1012,BE100
1020,BE100
1030,BE100
1031,BE100
1040,BE100
1041,BE100
1043,BE100
1044,BE100
1045,BE100
1047,BE100
1048,BE100
1049,BE100
1050,BE100
1060,BE100
1070,BE100
1080,BE100
1081,BE100
1082,BE100
1083,BE100
1090,BE100
1100,BE100
1105,BE100
1110,BE100
1120,BE100
1130,BE100
1140,BE100
1150,BE100
1160,BE100
1170,BE100
1180,BE100
1190,BE100
1200,BE100
1201,BE100
1210,BE100
1212,BE100
1300,BE310
1301,BE310
1310,BE310
1315,BE310
1325,BE310
1330,BE310
1331,BE310
1332,BE310
1340,BE310
1341,BE310
1342,BE310
1348,BE310
1350,BE310
1357,BE310
1360,BE310
1367,BE310
1380,BE310
1390,BE310
1400,BE310
1401,BE310
1402,BE310
1404,BE310
1410,BE310
1414,BE310
1420,BE310
1421,BE310
1428,BE310
1430,BE310
1435,BE310
1440,BE310
1450,BE310
1457,BE310
1460,BE310
1461,BE310
1470,BE310
1471,BE310
1472,BE310
1473,BE310
1474,BE310
1476,BE310
1480,BE310
1490,BE310
1495,BE310
1500,BE241
1501,BE241
1502,BE241
1540,BE241
1541,BE241
1547,BE241
1560,BE241
1570,BE241
1600,BE241
1601,BE241
1602,BE241
1620,BE241
1630,BE241
1640,BE241
1650,BE241
1651,BE241
1652,BE241
1653,BE241
1654,BE241
1670,BE241
1671,BE241
1673,BE241
1674,BE241
1700,BE241
1701,BE241
1702,BE241
1703,BE241
1730,BE241
1731,BE241
1740,BE241
1741,BE241
1742,BE241
1745,BE241
1750,BE241
1755,BE241
1760,BE241
1761,BE241
1770,BE241
1780,BE241
1785,BE241
1790,BE241
1800,BE241
1804,BE241
1818,BE241
1820,BE241
1830,BE241
1831,BE241
1840,BE241
1850,BE241
1851,BE241
1852,BE241
1853,BE100
1860,BE241
1861,BE241
1880,BE241
1930,BE241
1931,BE241
1932,BE241
1933,BE241
1934,BE241
1950,BE241
1970,BE241
1980,BE241
1981,BE241
1982,BE241
2000,BE211
2018,BE211
2020,BE211
2030,BE211
2040,BE211
2050,BE211
2060,BE211
2070,BE211
2100,BE211
2110,BE211
2140,BE211
2150,BE211
2160,BE211
2170,BE211
2180,BE211
2200,BE213
2220,BE213
2221,BE213
2222,BE213
2223,BE213
2230,BE213
2240,BE211
2242,BE211
2243,BE211
2250,BE213
2260,BE213
2270,BE213
2280,BE213
2288,BE213
2290,BE213
2300,BE213
2310,BE213
2320,BE213
2321,BE213
2322,BE213
2323,BE213
2328,BE213
2330,BE213
2340,BE213
2350,BE213
2360,BE213
2370,BE213
2380,BE213
2381,BE213
2382,BE213
2387,BE213
2390,BE211
2400,BE213
2430,BE213
2431,BE213
2440,BE213
2450,BE213
2460,BE213
2470,BE213
2480,BE213
2490,BE213
2491,BE213
2500,BE212
2520,BE211
2530,BE211
2531,BE211
2540,BE211
2547,BE211
2550,BE211
2560,BE212
2570,BE212
2580,BE212
2590,BE212
2600,BE211
2610,BE211
2620,BE211
2627,BE211
2630,BE211
2640,BE211
2650,BE211
2660,BE211
2800,BE212
2801,BE212
2811,BE212
2812,BE212
2820,BE212
2830,BE212
2840,BE211
2845,BE211
2850,BE211
2860,BE212
2861,BE212
2870,BE212
2880,BE212
2890,BE212
2900,BE211
2910,BE211
2920,BE211
2930,BE211
2940,BE211
2950,BE211
2960,BE211
2970,BE211
2980,BE211
2990,BE211
3000,BE242
3001,BE242
3010,BE242
3012,BE242
3018,BE242
3020,BE242
3040,BE242
3050,BE242
3051,BE242
3052,BE242
3053,BE242
3054,BE242
3060,BE242
3061,BE242
3070,BE242
3071,BE242
3078,BE242
3080,BE242
3090,BE241
3110,BE242
3111,BE242
3118,BE242
3120,BE242
3128,BE242
3130,BE242
3140,BE242
3150,BE242
3190,BE242
3191,BE242
3200,BE242
3201,BE242
3202,BE242
3210,BE242
3211,BE242
3212,BE242
3220,BE242
3221,BE242
3270,BE242
3271,BE242
3272,BE242
3290,BE242
3293,BE242
3294,BE242
3300,BE242
3320,BE242
3321,BE242
3350,BE242
3360,BE242
3370,BE242
3380,BE242
3381,BE242
3384,BE242
3390,BE242
3391,BE242
3400,BE242
3401,BE242
3404,BE242
3440,BE242
3450,BE242
3454,BE242
3460,BE242
3461,BE242
3470,BE242
3471,BE242
3472,BE242
3473,BE242
3500,BE221
3510,BE221
3511,BE221
3512,BE221
3520,BE221
3530,BE222
3540,BE221
3545,BE221
3550,BE221
3560,BE221
3570,BE223
3580,BE221
3581,BE221
3582,BE221
3583,BE221
3590,BE221
3600,BE223
3620,BE223
3621,BE223
3630,BE223
3631,BE223
3640,BE222
3650,BE222
3660,BE221
3665,BE221
3668,BE221
3670,BE222
3680,BE222
3690,BE221
3717,BE223
3720,BE223
3721,BE223
3722,BE223
3723,BE223
3724,BE223
3730,BE223
3732,BE223
3740,BE223
3742,BE223
3746,BE223
3791,BE223
3792,BE223
3793,BE223
3798,BE223
3806,BE221
3830,BE223
3831,BE223
3832,BE223
3891,BE221
3900,BE222
3910,BE222
3920,BE222
3930,BE222
3940,BE222
3941,BE222
3945,BE222
3950,BE222
3960,BE222
3970,BE221
3971,BE221
3980,BE221
3990,BE222
4000,BE332
4020,BE332
4030,BE332
4031,BE332
4032,BE332
4040,BE332
4041,BE332
4042,BE332
4050,BE332
4051,BE332
4052,BE332
4053,BE332
4090,BE332
4100,BE332
4101,BE332
4102,BE332
4120,BE332
4121,BE332
4122,BE332
4130,BE332
4140,BE332
4141,BE332
4151,BE331
4160,BE331
4161,BE331
4162,BE331
4163,BE331
4170,BE332
4171,BE332
4180,BE331
4181,BE331
4190,BE331
4210,BE331
4217,BE331
4218,BE331
4219,BE334
4250,BE334
4252,BE334
4253,BE334
4254,BE334
4257,BE334
4260,BE334
4261,BE334
4263,BE334
4280,BE334
4287,BE334
4300,BE334
4340,BE332
4342,BE332
4347,BE332
4350,BE334
4351,BE334
4357,BE334
4360,BE334
4367,BE334
4400,BE332
4420,BE332
4430,BE332
4431,BE332
4432,BE332
4450,BE332
4451,BE332
4453,BE332
4458,BE332
4460,BE332
4470,BE332
4480,BE332
4500,BE331
4520,BE331
4530,BE331
4537,BE331
4540,BE331
4550,BE331
4557,BE331
4560,BE331
4570,BE331
4577,BE331
4590,BE331
4600,BE332
4601,BE332
4602,BE332
4606,BE332
4607,BE332
4608,BE332
4610,BE332
4620,BE332
4621,BE332
4623,BE332
4624,BE332
4630,BE332
4631,BE332
4632,BE332
4633,BE332
4651,BE335
4652,BE335
4653,BE335
4654,BE335
4680,BE332
4681,BE332
4682,BE332
4683,BE332
4684,BE332
4690,BE332
4700,BE336
4701,BE336
4710,BE336
4711,BE336
4720,BE335
4721,BE335
4728,BE335
4730,BE336
4731,BE336
4750,BE335
4760,BE336
4761,BE336
4770,BE336
4771,BE336
4780,BE336
4782,BE336
4783,BE336
4784,BE336
4790,BE336
4791,BE336
4800,BE335
4801,BE335
4802,BE335
4820,BE335
4821,BE335
4830,BE335
4831,BE335
4834,BE335
4837,BE335
4840,BE335
4841,BE335
4845,BE335
4850,BE335
4851,BE335
4852,BE335
4860,BE335
4861,BE335
4870,BE332
4877,BE335
4880,BE335
4890,BE335
4900,BE335
4910,BE335
4950,BE335
4960,BE335
4970,BE335
4980,BE335
4983,BE335
4987,BE335
4990,BE335
5000,BE352
5001,BE352
5002,BE352
5003,BE352
5004,BE352
5020,BE352
5021,BE352
5022,BE352
5024,BE352
5030,BE352
5031,BE352
5032,BE352
5070,BE352
5100,BE352
5101,BE352
5140,BE352
5150,BE352
5170,BE352
5190,BE352
5300,BE352
5310,BE352
5330,BE352
5332,BE352
5333,BE352
5334,BE352
5336,BE352
5340,BE352
5350,BE352
5351,BE352
5352,BE352
5353,BE352
5354,BE352
5360,BE351
5361,BE351
5362,BE351
5363,BE351
5364,BE351
5370,BE351
5372,BE351
5374,BE351
5376,BE351
5377,BE351
5380,BE352
5500,BE351
5501,BE351
5502,BE351
5503,BE351
5504,BE351
